epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,15565.5,0.49531,0.31884,0.84635,0.89478,0.88525,0.9339,0.8018,0.47721,0.33067,0.8433,0.003598,0.003598,0.003598
99,15855.6,0.495,0.31579,0.84713,0.89686,0.88539,0.93322,0.80185,0.47676,0.33079,0.84332,0.003532,0.003532,0.003532
100,16146,0.49563,0.31609,0.84832,0.89191,0.88893,0.93275,0.80153,0.4766,0.33089,0.84349,0.003466,0.003466,0.003466
101,16435.7,0.49247,0.31456,0.845,0.90468,0.8763,0.93236,0.80206,0.4764,0.33116,0.84319,0.0034,0.0034,0.0034
102,16727.5,0.49187,0.31327,0.84669,0.90391,0.87651,0.93205,0.8018,0.47637,0.33177,0.84354,0.003334,0.003334,0.003334
103,17019.4,0.48976,0.31112,0.84425,0.89171,0.88519,0.93233,0.80299,0.47638,0.33177,0.84333,0.003268,0.003268,0.003268
104,17309.4,0.49069,0.31213,0.84591,0.88255,0.89674,0.93267,0.80328,0.47625,0.33165,0.84337,0.003202,0.003202,0.003202
105,17599.4,0.48909,0.30827,0.84509,0.88744,0.89368,0.93286,0.80394,0.47599,0.3316,0.84337,0.003136,0.003136,0.003136
106,17889.4,0.48767,0.30628,0.84417,0.88734,0.89357,0.93251,0.8039,0.47586,0.3317,0.84324,0.00307,0.00307,0.00307
107,18188.6,0.48714,0.30574,0.8437,0.89438,0.88761,0.93223,0.80327,0.47573,0.33171,0.84299,0.003004,0.003004,0.003004
108,18490.6,0.48745,0.30704,0.84466,0.89461,0.88759,0.93206,0.80302,0.47569,0.33177,0.84312,0.002938,0.002938,0.002938
109,18784.8,0.48545,0.30591,0.84354,0.89223,0.88932,0.93189,0.80341,0.47567,0.33144,0.84291,0.002872,0.002872,0.002872
110,19076.4,0.48448,0.30272,0.84359,0.89079,0.89072,0.93159,0.803,0.47562,0.33179,0.84276,0.002806,0.002806,0.002806
111,19366.8,0.48369,0.3013,0.84257,0.8931,0.89019,0.93137,0.80307,0.47542,0.33192,0.84259,0.00274,0.00274,0.00274
112,19656.8,0.48266,0.30146,0.84284,0.89311,0.89077,0.9311,0.80274,0.4753,0.3321,0.84263,0.002674,0.002674,0.002674
113,19947.8,0.48149,0.29932,0.84201,0.89111,0.88981,0.93058,0.80196,0.47512,0.33237,0.84252,0.002608,0.002608,0.002608
114,20244.4,0.48081,0.29911,0.84169,0.89275,0.8896,0.9306,0.80269,0.47504,0.33258,0.84244,0.002542,0.002542,0.002542
115,20540.9,0.48056,0.29715,0.84158,0.896,0.88587,0.93038,0.80261,0.47485,0.33268,0.84232,0.002476,0.002476,0.002476
