backend,case_id,view_code,duration_sec,returncode,elapsed_sec,transcript_segments,transcript_non_empty,placeholder,source,transcript_path,log_path
whisper,rear__443773,rear,7.96,0,7.76,2,2,0,whisper:small,output/asr_ablation/random6_small_cpu/whisper/rear/rear__443773/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cpu/whisper_12_rear__443773.log
whisper,teacher__0247,teacher,11.067,0,8.65,2,2,0,whisper:small,output/asr_ablation/random6_small_cpu/whisper/teacher/teacher__0247/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cpu/whisper_13_teacher__0247.log
whisper,teacher__0522,teacher,97.767,0,17.85,32,32,0,whisper:small,output/asr_ablation/random6_small_cpu/whisper/teacher/teacher__0522/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cpu/whisper_14_teacher__0522.log
whisper,teacher__0538,teacher,2.167,0,7.89,1,1,1,asr_placeholder,output/asr_ablation/random6_small_cpu/whisper/teacher/teacher__0538/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cpu/whisper_15_teacher__0538.log
whisper,teacher__0642,teacher,5.4,0,7.93,1,1,0,whisper:small,output/asr_ablation/random6_small_cpu/whisper/teacher/teacher__0642/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cpu/whisper_16_teacher__0642.log
whisper,teacher__240102,teacher,9.9,0,7.92,1,1,0,whisper:small,output/asr_ablation/random6_small_cpu/whisper/teacher/teacher__240102/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cpu/whisper_17_teacher__240102.log
whisper,teacher__248311,teacher,12.933,0,8.07,1,1,1,asr_placeholder,output/asr_ablation/random6_small_cpu/whisper/teacher/teacher__248311/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cpu/whisper_18_teacher__248311.log
whisper,top1__0706,top1,3.0,0,11.68,1,1,0,whisper:small,output/asr_ablation/random6_small_cpu/whisper/top1/top1__0706/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cpu/whisper_19_top1__0706.log
whisper,top1__0968,top1,3.8,0,9.46,1,1,0,whisper:small,output/asr_ablation/random6_small_cpu/whisper/top1/top1__0968/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cpu/whisper_20_top1__0968.log
whisper,top1__108017,top1,1.967,0,8.87,1,1,0,whisper:small,output/asr_ablation/random6_small_cpu/whisper/top1/top1__108017/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cpu/whisper_21_top1__108017.log
whisper,top1__176021,top1,13.9,0,9.85,6,6,0,whisper:small,output/asr_ablation/random6_small_cpu/whisper/top1/top1__176021/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cpu/whisper_22_top1__176021.log
whisper,top1__192217,top1,9.376,0,8.77,5,5,0,whisper:small,output/asr_ablation/random6_small_cpu/whisper/top1/top1__192217/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cpu/whisper_23_top1__192217.log
whisper,top1__233772,top1,56.467,0,17.64,15,15,0,whisper:small,output/asr_ablation/random6_small_cpu/whisper/top1/top1__233772/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cpu/whisper_24_top1__233772.log
whisper,top2__263180,top2,0.867,0,8.21,1,1,0,whisper:small,output/asr_ablation/random6_small_cpu/whisper/top2/top2__263180/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cpu/whisper_25_top2__263180.log
whisper,top2__336479,top2,3.333,0,8.1,1,1,0,whisper:small,output/asr_ablation/random6_small_cpu/whisper/top2/top2__336479/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cpu/whisper_26_top2__336479.log
whisper,top2__376502,top2,10.933,0,9.0,6,6,0,whisper:small,output/asr_ablation/random6_small_cpu/whisper/top2/top2__376502/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cpu/whisper_27_top2__376502.log
whisper,top2__396146,top2,10.733,0,8.63,3,3,0,whisper:small,output/asr_ablation/random6_small_cpu/whisper/top2/top2__396146/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cpu/whisper_28_top2__396146.log
whisper,top2__443363,top2,3.333,0,7.97,1,1,0,whisper:small,output/asr_ablation/random6_small_cpu/whisper/top2/top2__443363/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cpu/whisper_29_top2__443363.log
whisper,top2__445703,top2,36.633,0,12.14,11,11,0,whisper:small,output/asr_ablation/random6_small_cpu/whisper/top2/top2__445703/transcript.jsonl,paper_experiments/run_logs/asr_ablation_random6_small_cpu/whisper_30_top2__445703.log
