case_id,view_code,duration_sec,status,elapsed_sec,timeline_chart_exists,pose_track_count,pose_frame_count,pose_person_entries,uq_rows,actions_count,actions_raw_count,actions_behavior_count,actions_behavior_aug_count,actions_used_for_align,objects_rows,objects_det_count,behavior_det_rows,behavior_det_count,transcript_count,transcript_placeholder,event_queries_count,align_events,align_events_with_candidates,align_avg_candidates,verified_count,verified_p_match_mean,attention,output_dir
teacher__0247,teacher,11.067,failed,6.09,False,0,0,0,0,0,0,0,0,actions.jsonl,0,0,0,0,0,False,0,0,0,0.0,0,0.0,no_valid_tracks;no_actions,output/智慧课堂学生行为数据集/random6_20260420_mainline_v2/teacher/teacher__0247
teacher__0522,teacher,97.767,failed,5.9,False,0,0,0,0,0,0,0,0,actions.jsonl,0,0,0,0,0,False,0,0,0,0.0,0,0.0,no_valid_tracks;no_actions,output/智慧课堂学生行为数据集/random6_20260420_mainline_v2/teacher/teacher__0522
teacher__0538,teacher,2.167,failed,7.31,False,0,0,0,0,0,0,0,0,actions.jsonl,0,0,0,0,0,False,0,0,0,0.0,0,0.0,no_valid_tracks;no_actions,output/智慧课堂学生行为数据集/random6_20260420_mainline_v2/teacher/teacher__0538
teacher__0642,teacher,5.4,failed,9.82,False,0,0,0,0,0,0,0,0,actions.jsonl,0,0,0,0,0,False,0,0,0,0.0,0,0.0,no_valid_tracks;no_actions,output/智慧课堂学生行为数据集/random6_20260420_mainline_v2/teacher/teacher__0642
teacher__240102,teacher,9.9,failed,8.47,False,0,0,0,0,0,0,0,0,actions.jsonl,0,0,0,0,0,False,0,0,0,0.0,0,0.0,no_valid_tracks;no_actions,output/智慧课堂学生行为数据集/random6_20260420_mainline_v2/teacher/teacher__240102
teacher__248311,teacher,12.933,failed,7.4,False,0,0,0,0,0,0,0,0,actions.jsonl,0,0,0,0,0,False,0,0,0,0.0,0,0.0,no_valid_tracks;no_actions,output/智慧课堂学生行为数据集/random6_20260420_mainline_v2/teacher/teacher__248311
top1__0706,top1,3.0,failed,7.45,False,0,0,0,0,0,0,0,0,actions.jsonl,0,0,0,0,0,False,0,0,0,0.0,0,0.0,no_valid_tracks;no_actions,output/智慧课堂学生行为数据集/random6_20260420_mainline_v2/top1/top1__0706
top1__0968,top1,3.8,failed,6.92,False,0,0,0,0,0,0,0,0,actions.jsonl,0,0,0,0,0,False,0,0,0,0.0,0,0.0,no_valid_tracks;no_actions,output/智慧课堂学生行为数据集/random6_20260420_mainline_v2/top1/top1__0968
top1__108017,top1,1.967,failed,6.66,False,0,0,0,0,0,0,0,0,actions.jsonl,0,0,0,0,0,False,0,0,0,0.0,0,0.0,no_valid_tracks;no_actions,output/智慧课堂学生行为数据集/random6_20260420_mainline_v2/top1/top1__108017
top1__176021,top1,13.9,failed,6.57,False,0,0,0,0,0,0,0,0,actions.jsonl,0,0,0,0,0,False,0,0,0,0.0,0,0.0,no_valid_tracks;no_actions,output/智慧课堂学生行为数据集/random6_20260420_mainline_v2/top1/top1__176021
