case_id,view_code,duration_sec,status,elapsed_sec,timeline_chart_exists,pose_track_count,pose_frame_count,pose_person_entries,uq_rows,actions_count,actions_raw_count,actions_behavior_count,actions_behavior_aug_count,actions_used_for_align,objects_rows,objects_det_count,behavior_det_rows,behavior_det_count,transcript_count,transcript_placeholder,event_queries_count,align_events,align_events_with_candidates,align_avg_candidates,verified_count,verified_p_match_mean,attention,output_dir
rear__423312,rear,3.0,ok,2.49,True,13,90,1107,90,27,27,4,29,actions.behavior_aug.jsonl,71,77,41,48,1,False,1,1,1,8.0,1,0.4633,,output/智慧课堂学生行为数据集/random6_20260420_behavior_aug_v1/rear/rear__423312
rear__443773,rear,7.96,ok,2.55,True,15,199,2254,199,60,60,5,62,actions.behavior_aug.jsonl,169,383,106,112,2,False,2,2,2,8.0,2,0.4871,,output/智慧课堂学生行为数据集/random6_20260420_behavior_aug_v1/rear/rear__443773
teacher__0247,teacher,11.067,ok,2.55,True,12,332,3983,332,18,18,5,23,actions.behavior_aug.jsonl,326,464,227,228,2,False,2,2,2,8.0,2,0.5015,,output/智慧课堂学生行为数据集/random6_20260420_behavior_aug_v1/teacher/teacher__0247
teacher__0522,teacher,97.767,ok,2.51,True,2,2933,3049,2933,17,17,11,28,actions.behavior_aug.jsonl,93,94,96,96,32,False,32,32,32,1.8125,32,0.4412,,output/智慧课堂学生行为数据集/random6_20260420_behavior_aug_v1/teacher/teacher__0522
teacher__0538,teacher,2.167,ok,30.53,True,0,0,0,0,0,0,0,0,actions.behavior_aug.jsonl,0,0,0,0,1,True,1,1,0,0.0,1,0.0,no_valid_tracks;no_actions;asr_placeholder;align_no_candidates,output/智慧课堂学生行为数据集/random6_20260420_behavior_aug_v1/teacher/teacher__0538
teacher__0642,teacher,5.4,ok,31.72,True,5,135,617,135,8,8,2,10,actions.behavior_aug.jsonl,0,0,9,9,1,False,1,1,1,8.0,1,0.5191,,output/智慧课堂学生行为数据集/random6_20260420_behavior_aug_v1/teacher/teacher__0642
teacher__240102,teacher,9.9,ok,2.74,True,1,297,297,297,1,1,7,8,actions.behavior_aug.jsonl,6,6,255,297,1,False,1,1,1,4.0,1,0.4754,,output/智慧课堂学生行为数据集/random6_20260420_behavior_aug_v1/teacher/teacher__240102
teacher__248311,teacher,12.933,ok,81.46,True,0,0,0,0,0,0,0,0,actions.behavior_aug.jsonl,0,0,0,0,1,True,1,1,0,0.0,1,0.0,no_valid_tracks;no_actions;asr_placeholder;align_no_candidates,output/智慧课堂学生行为数据集/random6_20260420_behavior_aug_v1/teacher/teacher__248311
top1__0706,top1,3.0,ok,51.87,True,7,90,555,90,11,11,51,62,actions.behavior_aug.jsonl,90,2353,90,2297,1,True,1,1,1,8.0,1,0.6096,asr_placeholder,output/智慧课堂学生行为数据集/random6_20260420_behavior_aug_v1/top1/top1__0706
top1__0968,top1,3.8,ok,72.88,True,6,95,532,95,18,18,46,64,actions.behavior_aug.jsonl,95,1876,95,1113,1,False,1,1,1,8.0,1,0.4982,,output/智慧课堂学生行为数据集/random6_20260420_behavior_aug_v1/top1/top1__0968
top1__108017,top1,1.967,ok,46.79,True,8,59,472,59,9,9,70,79,actions.behavior_aug.jsonl,59,755,59,1599,1,False,1,1,1,8.0,1,0.5362,,output/智慧课堂学生行为数据集/random6_20260420_behavior_aug_v1/top1/top1__108017
top1__176021,top1,13.9,ok,104.47,True,13,417,4710,417,31,31,147,178,actions.behavior_aug.jsonl,357,814,417,17089,6,False,6,6,6,8.0,6,0.5367,,output/智慧课堂学生行为数据集/random6_20260420_behavior_aug_v1/top1/top1__176021
top1__192217,top1,9.376,ok,81.12,True,13,281,3313,281,32,32,101,133,actions.behavior_aug.jsonl,281,1323,281,7257,5,False,5,5,5,8.0,5,0.5385,,output/智慧课堂学生行为数据集/random6_20260420_behavior_aug_v1/top1/top1__192217
top1__233772,top1,56.467,ok,303.63,True,21,1694,24853,1694,162,162,739,901,actions.behavior_aug.jsonl,1694,34971,1694,32255,18,False,18,18,18,8.0,18,0.5087,,output/智慧课堂学生行为数据集/random6_20260420_behavior_aug_v1/top1/top1__233772
top2__263180,top2,0.867,ok,42.03,True,17,26,414,26,22,22,30,52,actions.behavior_aug.jsonl,7,8,26,506,1,False,1,1,1,8.0,1,0.5368,,output/智慧课堂学生行为数据集/random6_20260420_behavior_aug_v1/top2/top2__263180
top2__336479,top2,3.333,ok,56.4,True,7,100,630,100,8,8,30,38,actions.behavior_aug.jsonl,40,54,100,2078,1,False,1,1,1,8.0,1,0.5359,,output/智慧课堂学生行为数据集/random6_20260420_behavior_aug_v1/top2/top2__336479
top2__376502,top2,10.933,ok,88.16,True,10,328,2511,328,63,63,172,235,actions.behavior_aug.jsonl,328,4334,328,4577,6,False,6,6,6,8.0,6,0.5326,,output/智慧课堂学生行为数据集/random6_20260420_behavior_aug_v1/top2/top2__376502
top2__396146,top2,10.733,ok,87.27,True,18,322,4761,322,37,37,57,94,actions.behavior_aug.jsonl,322,2972,322,4771,3,False,3,3,3,8.0,3,0.504,,output/智慧课堂学生行为数据集/random6_20260420_behavior_aug_v1/top2/top2__396146
top2__443363,top2,3.333,ok,53.52,True,10,100,808,100,29,29,131,160,actions.behavior_aug.jsonl,100,2400,100,3724,1,False,1,1,1,8.0,1,0.5352,,output/智慧课堂学生行为数据集/random6_20260420_behavior_aug_v1/top2/top2__443363
top2__445703,top2,36.633,ok,208.61,True,19,1099,16011,1099,110,110,218,328,actions.behavior_aug.jsonl,1099,8987,1099,28808,15,False,15,15,15,8.0,15,0.5286,,output/智慧课堂学生行为数据集/random6_20260420_behavior_aug_v1/top2/top2__445703
